Funcionário;Quando;Valor;Tipo
Marcelo Silva;08/08/2023 15:41;R$ 48,00;Cartão
Mariana Lima;08/08/2023 15:36;R$ 47,50;Cartão
Mariana Lima;08/08/2023 15:31;R$ 67,50;Cartão
Mariana Lima;08/08/2023 15:30;R$ 42,00;Dinheiro
Marcelo Silva;08/08/2023 15:27;R$ 54,00;Dinheiro
Marcelo Silva;08/08/2023 15:24;R$ 39,00;Cartão
Marcelo Silva;08/08/2023 15:24;R$ 42,00;Dinheiro
Mariana Lima;08/08/2023 15:15;R$ 55,50;Dinheiro
Mariana Lima;08/08/2023 15:11;R$ 51,00;Cartão
Mariana Lima;08/08/2023 15:08;R$ 67,00;Dinheiro
Mariana Lima;08/08/2023 15:08;R$ 42,00;Cartão
Mariana Lima;08/08/2023 15:05;R$ 84,00;Dinheiro
Marcelo Silva;08/08/2023 15:04;R$ 96,00;Dinheiro
Mariana Lima;08/08/2023 14:57;R$ 47,00;Cartão
Mariana Lima;08/08/2023 14:55;R$ 41,50;Cartão
Mariana Lima;08/08/2023 14:47;R$ 55,50;Dinheiro
Mariana Lima;08/08/2023 14:47;R$ 54,00;Dinheiro
Mariana Lima;08/08/2023 14:45;R$ 42,00;Dinheiro
Mariana Lima;08/08/2023 14:44;R$ 40,50;Dinheiro
Mariana Lima;08/08/2023 14:42;R$ 87,00;Cartão
Mariana Lima;08/08/2023 14:41;R$ 36,00;Cartão
Mariana Lima;08/08/2023 14:39;R$ 42,00;Cartão
Marcelo Silva;08/08/2023 14:29;R$ 39,00;Cartão
Mariana Lima;08/08/2023 14:28;R$ 45,50;Cartão
Mariana Lima;08/08/2023 14:25;R$ 52,00;Cartão
Mariana Lima;08/08/2023 14:25;R$ 72,00;Dinheiro
Marcelo Silva;07/08/2023 18:53;R$ 67,50;Cartão
Marcelo Silva;07/08/2023 18:10;R$ 62,00;Cartão
Marcelo Silva;07/08/2023 17:47;R$ 41,00;Dinheiro
Marcelo Silva;07/08/2023 17:38;R$ 52,00;Dinheiro
Marcelo Silva;07/08/2023 17:08;R$ 50,50;Cartão
Marcelo Silva;07/08/2023 16:30;R$ 45,50;Dinheiro
Marcelo Silva;07/08/2023 16:13;R$ 42,50;Dinheiro
Marcelo Silva;07/08/2023 16:10;R$ 57,50;Dinheiro
Marcelo Silva;07/08/2023 16:07;R$ 47,00;Cartão
Marcelo Silva;07/08/2023 16:00;R$ 31,00;Dinheiro
Marcelo Silva;07/08/2023 15:59;R$ 45,50;Cartão
Marcelo Silva;07/08/2023 15:56;R$ 30,50;Cartão
Marcelo Silva;07/08/2023 15:53;R$ 67,50;Dinheiro
Marcelo Silva;07/08/2023 15:07;R$ 52,00;Cartão
Marcelo Silva;07/08/2023 15:01;R$ 55,50;Cartão
Marcelo Silva;07/08/2023 14:49;R$ 50,50;Dinheiro
Marcelo Silva;07/08/2023 14:48;R$ 52,50;Cartão
Marcelo Silva;07/08/2023 14:44;R$ 35,50;Cartão
Marcelo Silva;07/08/2023 14:38;R$ 47,00;Cartão
Marcelo Silva;07/08/2023 14:35;R$ 52,50;Dinheiro
Marcelo Silva;07/08/2023 14:28;R$ 41,50;Cartão
Marcelo Silva;07/08/2023 14:26;R$ 40,50;Dinheiro
Arnaldo Antunes;06/08/2023 19:07;R$ 57,50;Dinheiro
Arnaldo Antunes;06/08/2023 19:03;R$ 41,00;Cartão
Arnaldo Antunes;06/08/2023 18:54;R$ 36,00;Cartão
Arnaldo Antunes;06/08/2023 18:44;R$ 26,00;Cartão
Arnaldo Antunes;06/08/2023 18:41;R$ 35,50;Cartão
Arnaldo Antunes;06/08/2023 18:27;R$ 72,50;Cartão
Arnaldo Antunes;06/08/2023 18:02;R$ 67,50;Cartão
Arnaldo Antunes;06/08/2023 17:52;R$ 72,50;Cartão
Arnaldo Antunes;06/08/2023 17:39;R$ 56,50;Dinheiro
Arnaldo Antunes;06/08/2023 17:38;R$ 40,50;Cartão
Arnaldo Antunes;06/08/2023 17:31;R$ 57,00;Cartão
Arnaldo Antunes;06/08/2023 17:24;R$ 40,50;Dinheiro
Arnaldo Antunes;06/08/2023 17:16;R$ 62,00;Cartão
Arnaldo Antunes;06/08/2023 17:13;R$ 52,00;Cartão
Arnaldo Antunes;06/08/2023 17:06;R$ 61,50;Cartão
Arnaldo Antunes;06/08/2023 16:56;R$ 46,50;Cartão
Arnaldo Antunes;06/08/2023 16:52;R$ 20,50;Cartão
Arnaldo Antunes;06/08/2023 16:49;R$ 61,50;Dinheiro
Arnaldo Antunes;06/08/2023 16:39;R$ 46,50;Cartão
Arnaldo Antunes;06/08/2023 16:29;R$ 45,50;Cartão
Arnaldo Antunes;06/08/2023 16:09;R$ 57,00;Cartão
Arnaldo Antunes;06/08/2023 16:06;R$ 67,00;Dinheiro
Arnaldo Antunes;06/08/2023 15:50;R$ 51,00;Cartão
Arnaldo Antunes;06/08/2023 15:48;R$ 36,50;Cartão
Arnaldo Antunes;06/08/2023 15:48;R$ 57,00;Dinheiro
Arnaldo Antunes;06/08/2023 15:38;R$ 35,50;Cartão
Arnaldo Antunes;06/08/2023 15:28;R$ 52,00;Cartão
Arnaldo Antunes;06/08/2023 15:12;R$ 26,50;Dinheiro
Arnaldo Antunes;06/08/2023 15:07;R$ 52,00;Cartão
Arnaldo Antunes;06/08/2023 14:57;R$ 47,00;Dinheiro
Arnaldo Antunes;06/08/2023 14:55;R$ 67,50;Cartão
Arnaldo Antunes;06/08/2023 14:38;R$ 57,00;Cartão
Arnaldo Antunes;06/08/2023 14:34;R$ 62,00;Dinheiro
Arnaldo Antunes;06/08/2023 14:32;R$ 56,00;Cartão
