"Data","Cidade","UF","Vendedor","Salario","Veículo","Preço"
"27-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","56889"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Polo","56379"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Logan","51574"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Cruze","18499"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Polo","41386"
"18-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","19105"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Uno","29535"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Fiesta","48475"
"7-Jan-2020","Americana","SP","Elian Belli","1800","Civic","50275"
"7-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","40163"
"7-Jan-2020","Americana","SP","Elian Belli","1800","Polo","50210"
"7-Jan-2020","Americana","SP","Elian Belli","1800","Polo","29034"
"20-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","52243"
"20-Jan-2020","Americana","SP","Elian Belli","1800","Civic","47390"
"21-Jan-2020","Americana","SP","Elian Belli","1800","Cruze","37176"
"21-Jan-2020","Americana","SP","Elian Belli","1800","Civic","41932"
"21-Jan-2020","Americana","SP","Elian Belli","1800","Cruze","58198"
"21-Jan-2020","Americana","SP","Elian Belli","1800","Pálio","54081"
"21-Jan-2020","Americana","SP","Elian Belli","1800","Corola","49762"
"21-Jan-2020","Americana","SP","Elian Belli","1800","Cruze","42985"
"9-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","51685"
"9-Jan-2020","Americana","SP","Elian Belli","1800","Fiesta","46209"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Polo","36078"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Ka","21191"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Polo","40488"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Fiesta","21677"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Ka","27759"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Ka","57595"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Logan","10610"
"18-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","59955"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Gol","22883"
"18-Jan-2020","Americana","SP","Elian Belli","1800","Ka","34165"
"1-Jan-2020","Americana","SP","Elian Belli","1800","Logan","57196"
"1-Jan-2020","Americana","SP","Elian Belli","1800","Pálio","20290"
"1-Jan-2020","Americana","SP","Elian Belli","1800","Logan","35480"
"1-Jan-2020","Americana","SP","Elian Belli","1800","Ka","16068"
"1-Jan-2020","Americana","SP","Elian Belli","1800","Polo","28080"
"1-Jan-2020","Americana","SP","Elian Belli","1800","Uno","20037"
"1-Jan-2020","Americana","SP","Elian Belli","1800","Ka","38882"
"1-Jan-2020","Americana","SP","Elian Belli","1800","Cruze","19592"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Logan","24379"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Corola","42893"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Corola","11523"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Cruze","12614"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Logan","52808"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Polo","33090"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Pálio","21596"
"25-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","49043"
"26-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","53250"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Corola","11662"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","29460"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Pálio","20003"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Cruze","42857"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Corola","40516"
"26-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","49356"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Ka","56698"
"18-Fev-2020","Americana","SP","Elian Belli","1800","Polo","36091"
"18-Fev-2020","Americana","SP","Elian Belli","1800","Ka","32427"
"18-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","27508"
"27-Fev-2020","Americana","SP","Elian Belli","1800","Pálio","18147"
"27-Fev-2020","Americana","SP","Elian Belli","1800","Ka","23135"
"27-Fev-2020","Americana","SP","Elian Belli","1800","Gol","43824"
"27-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","28072"
"27-Fev-2020","Americana","SP","Elian Belli","1800","Corola","32077"
"27-Fev-2020","Americana","SP","Elian Belli","1800","Polo","33887"
"27-Fev-2020","Americana","SP","Elian Belli","1800","Pálio","24187"
"27-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","47645"
"15-Fev-2020","Americana","SP","Elian Belli","1800","Uno","16052"
"15-Fev-2020","Americana","SP","Elian Belli","1800","Uno","57624"
"15-Fev-2020","Americana","SP","Elian Belli","1800","Polo","42133"
"15-Fev-2020","Americana","SP","Elian Belli","1800","Uno","26140"
"15-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","48232"
"15-Fev-2020","Americana","SP","Elian Belli","1800","Ka","43205"
"15-Fev-2020","Americana","SP","Elian Belli","1800","Corola","21639"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Civic","19219"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Pálio","42125"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Ka","27829"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Uno","10709"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Ka","42608"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","20477"
"26-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","46380"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Cruze","11877"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Cruze","42792"
"24-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","52961"
"16-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","41096"
"16-Fev-2020","Americana","SP","Elian Belli","1800","Cruze","28155"
"16-Fev-2020","Americana","SP","Elian Belli","1800","Corola","38694"
"16-Fev-2020","Americana","SP","Elian Belli","1800","Logan","22512"
"16-Fev-2020","Americana","SP","Elian Belli","1800","Logan","31244"
"16-Fev-2020","Americana","SP","Elian Belli","1800","Gol","37086"
"16-Fev-2020","Americana","SP","Elian Belli","1800","Civic","50198"
"16-Fev-2020","Americana","SP","Elian Belli","1800","Logan","14686"
"16-Fev-2020","Americana","SP","Elian Belli","1800","Polo","55218"
"16-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","43082"
"16-Fev-2020","Americana","SP","Elian Belli","1800","Logan","21644"
"17-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","41771"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","29196"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","39044"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Civic","48936"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Pálio","36912"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","46469"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Cruze","11757"
"12-Fev-2020","Americana","SP","Elian Belli","1800","Logan","56329"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Uno","57478"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Civic","33690"
"26-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","20820"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Uno","39872"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Cruze","25776"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Civic","34591"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Corola","20241"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","30028"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","42151"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Civic","47447"
"26-Fev-2020","Americana","SP","Elian Belli","1800","Logan","11153"
"5-Fev-2020","Americana","SP","Elian Belli","1800","Corola","48890"
"5-Fev-2020","Americana","SP","Elian Belli","1800","Pálio","46988"
"5-Fev-2020","Americana","SP","Elian Belli","1800","Ka","11255"
"5-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","42570"
"5-Fev-2020","Americana","SP","Elian Belli","1800","Uno","26577"
"5-Fev-2020","Americana","SP","Elian Belli","1800","Pálio","19028"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Gol","56343"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Ka","21880"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Civic","21771"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Ka","38097"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Civic","29937"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Pálio","44391"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Logan","54658"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","15437"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Cruze","32775"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Civic","30067"
"4-Fev-2020","Americana","SP","Elian Belli","1800","Logan","13422"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Corola","32100"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Civic","30936"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Pálio","38919"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Corola","10429"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Logan","31484"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Ka","29034"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Cruze","55329"
"25-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","24289"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Uno","44319"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Corola","41911"
"25-Fev-2020","Americana","SP","Elian Belli","1800","Ka","18889"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Polo","36111"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Uno","27965"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Uno","23094"
"17-Fev-2020","Americana","SP","Elian Belli","1800","EcoSport","54197"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","10271"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","33012"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Uno","30311"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Polo","12656"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Uno","27854"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Ka","45216"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Gol","50865"
"17-Fev-2020","Americana","SP","Elian Belli","1800","Cruze","19243"
"23-Fev-2020","Americana","SP","Elian Belli","1800","Fiesta","47068"
"23-Fev-2020","Americana","SP","Elian Belli","1800","Gol","30074"
"10-Mar-2020","Americana","SP","Elian Belli","1800","Polo","36785"
"10-Mar-2020","Americana","SP","Elian Belli","1800","Pálio","15008"
"10-Mar-2020","Americana","SP","Elian Belli","1800","Cruze","27327"
"10-Mar-2020","Americana","SP","Elian Belli","1800","EcoSport","43315"
"10-Mar-2020","Americana","SP","Elian Belli","1800","Polo","53578"
"10-Mar-2020","Americana","SP","Elian Belli","1800","Logan","16326"
"9-Mar-2020","Americana","SP","Elian Belli","1800","Logan","18785"
"9-Mar-2020","Americana","SP","Elian Belli","1800","Pálio","25997"
"9-Mar-2020","Americana","SP","Elian Belli","1800","Pálio","50607"
"9-Mar-2020","Americana","SP","Elian Belli","1800","Civic","41163"
"9-Mar-2020","Americana","SP","Elian Belli","1800","Pálio","54065"
"23-Mar-2020","Americana","SP","Elian Belli","1800","Cruze","54087"
"23-Mar-2020","Americana","SP","Elian Belli","1800","Corola","51062"
"23-Mar-2020","Americana","SP","Elian Belli","1800","Fiesta","34133"
"23-Mar-2020","Americana","SP","Elian Belli","1800","Logan","44222"
"23-Mar-2020","Americana","SP","Elian Belli","1800","Fiesta","35152"
"23-Mar-2020","Americana","SP","Elian Belli","1800","Pálio","21888"
"23-Mar-2020","Americana","SP","Elian Belli","1800","Cruze","54435"
"9-Mar-2020","Americana","SP","Elian Belli","1800","EcoSport","54187"
"9-Mar-2020","Americana","SP","Elian Belli","1800","Polo","26342"
"14-Mar-2020","Americana","SP","Elian Belli","1800","EcoSport","24957"
"14-Mar-2020","Americana","SP","Elian Belli","1800","Cruze","11569"
"14-Mar-2020","Americana","SP","Elian Belli","1800","EcoSport","33134"
"14-Mar-2020","Americana","SP","Elian Belli","1800","Cruze","24856"
"14-Mar-2020","Americana","SP","Elian Belli","1800","Cruze","16190"
"14-Mar-2020","Americana","SP","Elian Belli","1800","Gol","46618"
"14-Mar-2020","Americana","SP","Elian Belli","1800","Cruze","15292"
"19-Mar-2020","Americana","SP","Elian Belli","1800","Civic","52984"
"19-Mar-2020","Americana","SP","Elian Belli","1800","Fiesta","51002"
"19-Mar-2020","Americana","SP","Elian Belli","1800","Cruze","59178"
"19-Mar-2020","Americana","SP","Elian Belli","1800","Fiesta","43048"
"19-Mar-2020","Americana","SP","Elian Belli","1800","Uno","20659"
"19-Mar-2020","Americana","SP","Elian Belli","1800","Fiesta","14686"
"4-Mar-2020","Americana","SP","Elian Belli","1800","Pálio","21385"
"22-Mar-2020","Americana","SP","Elian Belli","1800","Logan","58808"
"22-Mar-2020","Americana","SP","Elian Belli","1800","Fiesta","32422"
"21-Mar-2020","Americana","SP","Elian Belli","1800","Logan","59984"
"21-Mar-2020","Americana","SP","Elian Belli","1800","Pálio","20778"
"21-Mar-2020","Americana","SP","Elian Belli","1800","Uno","45382"
"21-Mar-2020","Americana","SP","Elian Belli","1800","Polo","53796"
"21-Mar-2020","Americana","SP","Elian Belli","1800","Corola","49922"
"21-Mar-2020","Americana","SP","Elian Belli","1800","EcoSport","33535"
"21-Mar-2020","Americana","SP","Elian Belli","1800","EcoSport","14992"
"21-Mar-2020","Americana","SP","Elian Belli","1800","Logan","12899"
"21-Mar-2020","Americana","SP","Elian Belli","1800","Civic","34778"
"21-Mar-2020","Americana","SP","Elian Belli","1800","Logan","34857"
"12-Mar-2020","Americana","SP","Elian Belli","1800","Gol","17931"
"12-Mar-2020","Americana","SP","Elian Belli","1800","Logan","58305"
"12-Mar-2020","Americana","SP","Elian Belli","1800","Fiesta","46179"
"27-Mar-2020","Americana","SP","Elian Belli","1800","Civic","49662"
"27-Mar-2020","Americana","SP","Elian Belli","1800","Polo","15605"
"27-Mar-2020","Americana","SP","Elian Belli","1800","Cruze","45480"
"27-Mar-2020","Americana","SP","Elian Belli","1800","Ka","13653"
"27-Mar-2020","Americana","SP","Elian Belli","1800","Pálio","39899"
"27-Mar-2020","Americana","SP","Elian Belli","1800","Logan","47216"
"27-Mar-2020","Americana","SP","Elian Belli","1800","EcoSport","57890"
"27-Mar-2020","Americana","SP","Elian Belli","1800","Logan","54190"
"27-Mar-2020","Americana","SP","Elian Belli","1800","Polo","50535"
"21-Mar-2020","Americana","SP","Elian Belli","1800","EcoSport","39492"
"9-Mar-2020","Americana","SP","Elian Belli","1800","Corola","30479"
"9-Mar-2020","Americana","SP","Elian Belli","1800","Logan","55650"
"9-Mar-2020","Americana","SP","Elian Belli","1800","Corola","20721"
"9-Mar-2020","Americana","SP","Elian Belli","1800","Cruze","22126"
"4-Abr-2020","Americana","SP","Elian Belli","1800","Fiesta","41752"
"4-Abr-2020","Americana","SP","Elian Belli","1800","EcoSport","22978"
"4-Abr-2020","Americana","SP","Elian Belli","1800","Ka","38291"
"4-Abr-2020","Americana","SP","Elian Belli","1800","Cruze","52436"
"4-Abr-2020","Americana","SP","Elian Belli","1800","Uno","58457"
"4-Abr-2020","Americana","SP","Elian Belli","1800","Gol","56885"
"16-Mai-2020","Americana","SP","Elian Belli","1800","Logan","30715"
"16-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","37654"
"16-Mai-2020","Americana","SP","Elian Belli","1800","Uno","43117"
"16-Mai-2020","Americana","SP","Elian Belli","1800","Civic","20955"
"16-Mai-2020","Americana","SP","Elian Belli","1800","Corola","45523"
"16-Mai-2020","Americana","SP","Elian Belli","1800","Polo","29629"
"16-Mai-2020","Americana","SP","Elian Belli","1800","Civic","28964"
"16-Mai-2020","Americana","SP","Elian Belli","1800","EcoSport","20239"
"16-Mai-2020","Americana","SP","Elian Belli","1800","Gol","33469"
"16-Mai-2020","Americana","SP","Elian Belli","1800","Civic","39690"
"7-Mai-2020","Americana","SP","Elian Belli","1800","Civic","18421"
"7-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","10665"
"14-Mai-2020","Americana","SP","Elian Belli","1800","Ka","54059"
"14-Mai-2020","Americana","SP","Elian Belli","1800","Uno","48222"
"27-Mai-2020","Americana","SP","Elian Belli","1800","Fiesta","25826"
"27-Mai-2020","Americana","SP","Elian Belli","1800","Ka","10834"
"27-Mai-2020","Americana","SP","Elian Belli","1800","Civic","40519"
"27-Mai-2020","Americana","SP","Elian Belli","1800","EcoSport","31206"
"27-Mai-2020","Americana","SP","Elian Belli","1800","Pálio","12514"
"27-Mai-2020","Americana","SP","Elian Belli","1800","Corola","24788"
"27-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","15599"
"27-Mai-2020","Americana","SP","Elian Belli","1800","Uno","13079"
"27-Mai-2020","Americana","SP","Elian Belli","1800","Pálio","32597"
"27-Mai-2020","Americana","SP","Elian Belli","1800","EcoSport","40146"
"27-Mai-2020","Americana","SP","Elian Belli","1800","Polo","47914"
"7-Mai-2020","Americana","SP","Elian Belli","1800","Uno","25730"
"7-Mai-2020","Americana","SP","Elian Belli","1800","Civic","24283"
"7-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","31700"
"7-Mai-2020","Americana","SP","Elian Belli","1800","Polo","10716"
"12-Mai-2020","Americana","SP","Elian Belli","1800","Ka","55351"
"12-Mai-2020","Americana","SP","Elian Belli","1800","Corola","52037"
"12-Mai-2020","Americana","SP","Elian Belli","1800","Polo","18267"
"12-Mai-2020","Americana","SP","Elian Belli","1800","Logan","23499"
"12-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","16953"
"12-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","10292"
"12-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","17788"
"12-Mai-2020","Americana","SP","Elian Belli","1800","Pálio","46964"
"12-Mai-2020","Americana","SP","Elian Belli","1800","Uno","46331"
"12-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","45875"
"6-Mai-2020","Americana","SP","Elian Belli","1800","Logan","38547"
"6-Mai-2020","Americana","SP","Elian Belli","1800","Civic","40644"
"14-Mai-2020","Americana","SP","Elian Belli","1800","Fiesta","43521"
"14-Mai-2020","Americana","SP","Elian Belli","1800","Uno","19564"
"14-Mai-2020","Americana","SP","Elian Belli","1800","Logan","44922"
"14-Mai-2020","Americana","SP","Elian Belli","1800","EcoSport","23365"
"14-Mai-2020","Americana","SP","Elian Belli","1800","Fiesta","21396"
"14-Mai-2020","Americana","SP","Elian Belli","1800","Ka","45416"
"14-Mai-2020","Americana","SP","Elian Belli","1800","Uno","49059"
"14-Mai-2020","Americana","SP","Elian Belli","1800","Pálio","53997"
"14-Mai-2020","Americana","SP","Elian Belli","1800","Fiesta","25379"
"3-Mai-2020","Americana","SP","Elian Belli","1800","Civic","35592"
"3-Mai-2020","Americana","SP","Elian Belli","1800","Corola","38305"
"21-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","55217"
"21-Mai-2020","Americana","SP","Elian Belli","1800","Civic","15965"
"21-Mai-2020","Americana","SP","Elian Belli","1800","Corola","19786"
"21-Mai-2020","Americana","SP","Elian Belli","1800","Fiesta","35979"
"21-Mai-2020","Americana","SP","Elian Belli","1800","EcoSport","38726"
"10-Mai-2020","Americana","SP","Elian Belli","1800","Ka","57921"
"10-Mai-2020","Americana","SP","Elian Belli","1800","Ka","56463"
"10-Mai-2020","Americana","SP","Elian Belli","1800","Fiesta","39285"
"10-Mai-2020","Americana","SP","Elian Belli","1800","Fiesta","25272"
"10-Mai-2020","Americana","SP","Elian Belli","1800","Logan","26956"
"10-Mai-2020","Americana","SP","Elian Belli","1800","Polo","37612"
"4-Mai-2020","Americana","SP","Elian Belli","1800","Polo","22334"
"4-Mai-2020","Americana","SP","Elian Belli","1800","Uno","55891"
"4-Mai-2020","Americana","SP","Elian Belli","1800","EcoSport","16065"
"4-Mai-2020","Americana","SP","Elian Belli","1800","Uno","34060"
"4-Mai-2020","Americana","SP","Elian Belli","1800","Pálio","20905"
"4-Mai-2020","Americana","SP","Elian Belli","1800","Pálio","29899"
"4-Mai-2020","Americana","SP","Elian Belli","1800","Corola","57829"
"28-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","51612"
"28-Mai-2020","Americana","SP","Elian Belli","1800","Civic","22888"
"28-Mai-2020","Americana","SP","Elian Belli","1800","Polo","27130"
"28-Mai-2020","Americana","SP","Elian Belli","1800","EcoSport","16408"
"28-Mai-2020","Americana","SP","Elian Belli","1800","EcoSport","30305"
"28-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","59031"
"28-Mai-2020","Americana","SP","Elian Belli","1800","Fiesta","38597"
"28-Mai-2020","Americana","SP","Elian Belli","1800","Civic","37008"
"27-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","15206"
"23-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","33043"
"23-Mai-2020","Americana","SP","Elian Belli","1800","Pálio","35346"
"23-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","25048"
"23-Mai-2020","Americana","SP","Elian Belli","1800","Civic","29852"
"23-Mai-2020","Americana","SP","Elian Belli","1800","EcoSport","54347"
"23-Mai-2020","Americana","SP","Elian Belli","1800","Uno","15431"
"23-Mai-2020","Americana","SP","Elian Belli","1800","Corola","47522"
"23-Mai-2020","Americana","SP","Elian Belli","1800","Civic","46571"
"23-Mai-2020","Americana","SP","Elian Belli","1800","Corola","54352"
"10-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","31090"
"10-Mai-2020","Americana","SP","Elian Belli","1800","EcoSport","35142"
"10-Mai-2020","Americana","SP","Elian Belli","1800","Uno","46609"
"11-Mai-2020","Americana","SP","Elian Belli","1800","Corola","43442"
"11-Mai-2020","Americana","SP","Elian Belli","1800","Logan","11351"
"11-Mai-2020","Americana","SP","Elian Belli","1800","Ka","18913"
"11-Mai-2020","Americana","SP","Elian Belli","1800","Logan","59912"
"11-Mai-2020","Americana","SP","Elian Belli","1800","Uno","18433"
"11-Mai-2020","Americana","SP","Elian Belli","1800","Cruze","18545"
"11-Mai-2020","Americana","SP","Elian Belli","1800","Uno","57655"
"11-Mai-2020","Americana","SP","Elian Belli","1800","Gol","17426"
"26-Jun-2020","Americana","SP","Elian Belli","1800","Cruze","59937"
"26-Jun-2020","Americana","SP","Elian Belli","1800","EcoSport","22086"
"26-Jun-2020","Americana","SP","Elian Belli","1800","Fiesta","20790"
"26-Jun-2020","Americana","SP","Elian Belli","1800","Pálio","50155"
"26-Jun-2020","Americana","SP","Elian Belli","1800","Logan","36558"
"26-Jun-2020","Americana","SP","Elian Belli","1800","EcoSport","27652"
"26-Jun-2020","Americana","SP","Elian Belli","1800","EcoSport","11903"
"22-Jun-2020","Americana","SP","Elian Belli","1800","EcoSport","39486"
"22-Jun-2020","Americana","SP","Elian Belli","1800","Polo","50470"
"22-Jun-2020","Americana","SP","Elian Belli","1800","Pálio","50878"
"15-Jun-2020","Americana","SP","Elian Belli","1800","Civic","24348"
"15-Jun-2020","Americana","SP","Elian Belli","1800","Gol","57731"
"15-Jun-2020","Americana","SP","Elian Belli","1800","EcoSport","46755"
"15-Jun-2020","Americana","SP","Elian Belli","1800","Pálio","13388"
"15-Jun-2020","Americana","SP","Elian Belli","1800","Cruze","37846"
"15-Jun-2020","Americana","SP","Elian Belli","1800","Fiesta","27817"
"25-Jun-2020","Americana","SP","Elian Belli","1800","Gol","36638"
"18-Jun-2020","Americana","SP","Elian Belli","1800","Polo","47934"
"18-Jun-2020","Americana","SP","Elian Belli","1800","Fiesta","58282"
"18-Jun-2020","Americana","SP","Elian Belli","1800","Uno","43412"
"18-Jun-2020","Americana","SP","Elian Belli","1800","Pálio","33432"
"18-Jun-2020","Americana","SP","Elian Belli","1800","Civic","51308"
"18-Jun-2020","Americana","SP","Elian Belli","1800","Ka","13826"
"18-Jun-2020","Americana","SP","Elian Belli","1800","Ka","28008"
"18-Jun-2020","Americana","SP","Elian Belli","1800","Cruze","32242"
