id_escaionamento;placa;cpf;id_vaga;entrada;saida;valor_estacionamento
82;KBK-5248;037.679.092-00;19;2022-03-03 10:17;2022-03-03 11:17;12.50
86;EKA-3455;857.950.358-23;19;2022-03-03 10:30;2022-03-03 13:15;15.00
130;KLA-7A63;286.150.469-21;19;2022-03-06 08:32;2022-03-06 10:32;15.00
146;EEL-8147;891.575.889-70;19;2022-03-07 12:19;2022-03-07 16:49;20.00
149;EBI-3338;300.766.852-25;19;2022-03-07 12:52;2022-03-07 15:37;15.00
156;EEL-8147;891.575.889-70;19;2022-03-08 08:01;2022-03-08 11:46;17.50
161;JCF-7153;570.776.506-93;19;2022-03-08 11:42;2022-03-08 13:42;15.00
28;JCF-7153;570.776.506-93;20;2022-02-27 10:17;2022-02-27 11:32;12.50
30;EEL-8147;891.575.889-70;20;2022-02-27 10:43;2022-02-27 13:28;15.00
51;KLA-7A63;286.150.469-21;20;2022-02-28 10:04;2022-02-28 11:49;12.50
70;KLA-7A63;286.150.469-21;20;2022-03-01 08:26;2022-03-01 11:41;17.50
93;HCA-6132;694.235.242-06;20;2022-03-04 11:55;2022-03-04 15:55;20.00
96;ILC-2428;763.952.560-84;20;2022-03-04 10:09;2022-03-04 12:54;15.00
4;KLA-7A63;286.150.469-21;21;2022-02-24 09:35;2022-02-24 13:20;17.50
15;BHI-3F56;645.329.387-08;21;2022-02-26 08:21;2022-02-26 10:21;15.00
25;ILC-2428;763.952.560-84;21;2022-02-26 10:27;2022-02-26 11:27;12.50
31;JKF-6A99;782.603.942-86;21;2022-02-27 11:59;2022-02-27 15:29;17.50
39;ILC-2428;763.952.560-84;21;2022-02-27 11:30;2022-02-27 14:30;17.50
47;KFA-3C03;191.921.293-07;21;2022-02-28 08:22;2022-02-28 09:37;12.50
50;ELF-7B90;842.022.641-69;21;2022-02-28 12:33;2022-02-28 13:48;12.50
58;BKB-3810;330.594.014-03;21;2022-03-01 11:37;2022-03-01 16:07;20.00
59;ILC-2428;763.952.560-84;21;2022-03-01 10:58;2022-03-01 13:58;17.50
66;LIB-7295;485.522.339-59;21;2022-03-01 08:52;2022-03-01 10:52;15.00
94;LIB-7295;485.522.339-59;21;2022-03-04 11:09;2022-03-04 12:09;12.50
105;EBI-3338;300.766.852-25;21;2022-03-04 11:13;2022-03-04 13:13;15.00
114;BLB-5D66;746.115.849-09;21;2022-03-05 12:56;2022-03-05 15:11;15.00
121;BLB-5D66;746.115.849-09;21;2022-03-06 08:02;2022-03-06 12:32;20.00
123;LDD-1002;395.005.819-22;21;2022-03-06 12:16;2022-03-06 14:16;15.00
124;CCI-5260;597.955.221-91;21;2022-03-06 08:08;2022-03-06 09:23;12.50
128;DLE-1A56;962.178.727-06;21;2022-03-06 11:26;2022-03-06 12:56;12.50
131;JCF-7153;570.776.506-93;21;2022-03-06 09:48;2022-03-06 13:03;17.50
150;BHI-3F56;645.329.387-08;21;2022-03-07 12:59;2022-03-07 14:44;12.50
160;EBI-3338;300.766.852-25;21;2022-03-08 12:10;2022-03-08 16:40;20.00
167;LIB-7295;485.522.339-59;21;2022-03-08 10:12;2022-03-08 13:12;17.50
